X,Manufacturer,Model,Sales_in_thousands,Year_Resale_Value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,Months_Added,Years_Added
0,Acura,Integra,16.9,16.4,Passenger,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2/2/2012,58.28014952,2,2012
1,Acura,TL,39.4,19.9,Passenger,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,6/3/2011,91.37077766,6,2011
3,Acura,RL,8.6,29.7,Passenger,42.0,3.5,210,114.6,71.4,196.6,3.85,18,22,3/10/2011,91.38977933,3,2011
4,Audi,A4,20.4,22.3,Passenger,24.0,1.8,150,102.6,68.2,178,2.998,16.4,27,10/8/2011,62.7776392,10,2011
5,Audi,A6,18.8,23.6,Passenger,34.0,2.8,200,108.7,76.1,192,3.561,18.5,22,8/9/2011,84.56510502,8,2011
6,Audi,A8,1.4,39.0,Passenger,62.0,4.2,310,113,74,198.2,3.902,23.7,21,2/27/2012,134.6568582,2,2012
8,BMW,328i,9.2,28.7,Passenger,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,1/29/2012,81.87706856,1,2012
9,BMW,528i,17.5,36.1,Passenger,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25,4/4/2011,83.9987238,4,2011
10,Buick,Century,91.6,12.5,Passenger,22.0,3.1,175,109,72.7,194.6,3.368,17.5,25,11/2/2011,71.18145132,11,2011
11,Buick,Regal,39.4,13.7,Passenger,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,9/3/2011,95.63670253,9,2011
12,Buick,Park Avenue,27.9,20.2,Passenger,32.0,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3/23/2012,85.82840825,3,2012
13,Buick,LeSabre,83.3,13.4,Passenger,27.9,3.8,205,112.2,73.5,200,3.591,17.5,25,7/23/2011,84.25452581,7,2011
14,Cadillac,DeVille,63.7,22.5,Passenger,39.9,4.6,275,115.3,74.5,207.2,3.978,18.5,22,2/23/2012,113.8545976,2,2012
16,Cadillac,Eldorado,6.5,25.7,Passenger,39.7,4.6,275,108,75.5,200.6,3.843,19,22,11/27/2011,113.7658739,11,2011
17,Cadillac,Catera,11.2,18.2,Passenger,31.0,3,200,107.4,70.3,194.8,3.77,18,22,9/28/2011,83.48309358,9,2011
19,Chevrolet,Cavalier,145.5,9.3,Passenger,13.3,2.2,115,104.1,67.9,180.9,2.676,14.3,27,8/17/2011,46.36334747,8,2011
20,Chevrolet,Malibu,135.1,11.2,Passenger,16.5,3.1,170,107,69.4,190.4,3.051,15,25,3/19/2012,67.31446216,3,2012
21,Chevrolet,Lumina,24.6,10.3,Passenger,18.9,3.1,175,107.5,72.5,200.9,3.33,16.6,25,5/24/2011,69.9913956,5,2011
22,Chevrolet,Monte Carlo,42.6,11.5,Passenger,19.4,3.4,180,110.5,72.7,197.9,3.34,17,27,12/22/2011,72.03091719,12,2011
23,Chevrolet,Camaro,26.4,13.0,Passenger,24.3,3.8,200,101.1,74.1,193.2,3.5,16.8,25,10/23/2011,81.11854333,10,2011
24,Chevrolet,Corvette,17.9,36.2,Passenger,45.7,5.7,345,104.5,73.6,179.7,3.21,19.1,22,5/12/2012,141.14115,5,2012
25,Chevrolet,Prizm,32.3,9.1,Passenger,14.0,1.8,120,97.1,66.7,174.3,2.398,13.2,33,9/11/2011,48.2976361,9,2011
26,Chevrolet,Metro,21.9,5.2,Passenger,9.2,1,55,93.1,62.6,149.4,1.895,10.3,45,4/13/2012,23.27627233,4,2012
28,Chrysler,Sebring Coupe,7.9,12.4,Passenger,19.8,2.5,163,103.7,69.7,190.9,2.967,15.9,24,1/16/2012,65.95718396,1,2012
29,Chrysler,Sebring Conv.,32.8,14.2,Passenger,24.5,2.5,168,106,69.2,193,3.332,16,24,11/17/2011,69.52135505,11,2011
30,Chrysler,Concorde,31.1,13.7,Passenger,22.2,2.7,200,113,74.4,209.1,3.452,17,26,6/6/2012,80.02378204,6,2012
31,Chrysler,Cirrus,32.3,12.6,Passenger,16.5,2,132,108,71,186,2.911,16,27,10/6/2011,53.56619987,10,2011
32,Chrysler,LHS,13.5,17.3,Passenger,28.3,3.5,253,113,74.4,207.7,3.564,17,23,5/8/2012,101.3292807,5,2012
35,Dodge,Neon,76.0,7.8,Passenger,12.6,2,132,105,74.4,174.4,2.567,12.5,29,12/12/2011,52.08489875,12,2011
36,Dodge,Avenger,4.7,12.5,Passenger,19.0,2.5,163,103.7,69.1,190.2,2.879,15.9,24,7/1/2012,65.65050834,7,2012
37,Dodge,Stratus,71.2,10.2,Passenger,20.2,2.5,168,108,71,186,3.058,16,24,10/31/2011,67.87610784,10,2011
39,Dodge,Viper,0.9,58.5,Passenger,69.7,8,450,96.2,75.7,176.7,3.375,19,16,8/7/2011,188.144323,8,2011
40,Dodge,Ram Pickup,227.1,15.1,Car,19.5,5.2,230,138.7,79.3,224.2,4.47,26,17,3/6/2012,90.21170005,3,2012
41,Dodge,Ram Wagon,16.8,15.5,Car,21.3,3.9,175,109.6,78.8,192.6,4.245,32,15,1/6/2012,71.13529161,1,2012
42,Dodge,Ram Van,31.0,13.4,Car,18.6,3.9,175,127.2,78.8,208.5,4.298,32,16,7/26/2012,70.07832154,7,2012
43,Dodge,Dakota,111.3,11.3,Car,17.0,2.5,120,131,71.5,215,3.557,22,19,11/25/2011,49.64500177,11,2011
45,Dodge,Caravan,181.7,12.0,Car,19.6,2.4,150,113.3,76.8,186.3,3.533,20,24,9/1/2011,61.22700031,9,2011
46,Ford,Escort,70.2,7.4,Passenger,12.1,2,110,98.4,67,174.7,2.468,12.7,30,3/31/2012,44.08370946,3,2012
47,Ford,Mustang,113.4,12.8,Passenger,21.6,3.8,190,101.3,73.1,183.2,3.203,15.7,24,1/31/2012,76.50918456,1,2012
48,Ford,Contour,35.1,8.8,Passenger,17.0,2.5,170,106.5,69.1,184.6,2.769,15,25,8/20/2012,67.35101072,8,2012
49,Ford,Taurus,245.8,10.1,Passenger,17.9,3,155,108.5,73,197.6,3.368,16,24,12/20/2011,62.5037395,12,2011
51,Ford,Crown Victoria,63.4,14.2,Passenger,22.2,4.6,200,114.7,78.2,212,3.908,19,21,9/26/2011,80.49953671,9,2011
52,Ford,Explorer,276.7,16.6,Car,31.9,4,210,111.6,70.2,190.7,3.876,21,19,4/25/2012,87.63549578,4,2012
53,Ford,Windstar,155.8,13.2,Car,21.4,3,150,120.7,76.6,200.9,3.761,26,21,2/25/2012,62.09504839,2,2012
54,Ford,Expedition,125.3,23.6,Car,36.1,4.6,240,119,78.7,204.6,4.808,26,16,9/14/2012,100.0248023,9,2012
55,Ford,Ranger,220.7,7.9,Car,12.1,2.5,119,117.5,69.4,200.7,3.086,20,23,1/14/2012,47.38953131,1,2012
56,Ford,F-Series,540.6,15.1,Car,26.9,4.6,220,138.5,79.1,224.5,4.241,25.1,18,8/16/2012,89.40193473,8,2012
57,Honda,Civic,199.7,9.9,Passenger,12.9,1.6,106,103.2,67.1,175.1,2.339,11.9,32,10/21/2011,42.87909734,10,2011
58,Honda,Accord,230.9,13.2,Passenger,15.4,2.3,135,106.9,70.3,188.8,2.932,17.1,27,5/20/2012,54.26954829,5,2012
59,Honda,CR-V,73.2,17.7,Car,20.6,2,146,103.2,68.9,177.6,3.219,15.3,24,3/21/2012,60.08796662,3,2012
60,Honda,Passport,12.9,17.5,Car,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,10/9/2012,83.6025008,10,2012
61,Honda,Odyssey,76.0,19.5,Car,26.0,3.5,210,118.1,75.6,201.2,4.288,20,23,2/8/2012,85.21769134,2,2012
62,Hyundai,Accent,41.2,5.9,Passenger,9.7,1.5,92,96.1,65.7,166.7,2.24,11.9,31,9/10/2012,36.67228358,9,2012
63,Hyundai,Elantra,66.7,7.8,Passenger,11.8,2,140,100.4,66.9,174,2.626,14.5,27,11/15/2011,54.59004516,11,2011
64,Hyundai,Sonata,29.5,8.9,Passenger,15.0,2.4,148,106.3,71.6,185.4,3.072,17.2,25,6/14/2012,58.758249,6,2012
65,Infiniti,I30,23.7,19.7,Passenger,29.5,3,227,108.3,70.2,193.7,3.342,18.5,25,4/15/2012,92.43688923,4,2012
67,Jeep,Wrangler,55.6,13.5,Car,14.5,2.5,120,93.4,66.7,152,3.045,19,17,3/4/2012,48.67289791,3,2012
68,Jeep,Cherokee,80.6,13.8,Car,21.6,4,190,101.4,69.4,167.5,3.194,20,20,10/5/2012,76.58443962,10,2012
69,Jeep,Grand Cherokee,157.0,18.8,Car,26.9,4,195,105.9,72.3,181.5,3.88,20.5,19,12/10/2011,80.38777912,12,2011
70,Lexus,ES300,24.1,27.0,Passenger,31.5,3,210,105.1,70.5,190.2,3.373,18.5,23,7/9/2012,87.21100104,7,2012
71,Lexus,GS300,12.7,32.1,Passenger,37.8,3,225,110.2,70.9,189.2,3.638,19.8,23,5/10/2012,94.9466984,5,2012
73,Lexus,LS400,6.4,40.4,Passenger,54.0,4,290,112.2,72,196.7,3.89,22.5,22,3/29/2012,124.4467163,3,2012
76,Lincoln,Continental,13.8,20.5,Passenger,39.1,4.6,275,109,73.6,208.5,3.868,20,22,8/3/2012,113.5402069,8,2012
77,Lincoln,Town car,48.9,21.7,Passenger,43.3,4.6,215,117.7,78.2,215.3,4.121,19,21,6/4/2012,93.9579169,6,2012
79,Mitsubishi,Mirage,26.2,8.3,Passenger,14.0,1.8,113,98.4,66.5,173.6,2.25,13.2,30,4/23/2012,45.83218056,4,2012
80,Mitsubishi,Eclipse,42.5,10.4,Passenger,19.0,2.4,154,100.8,68.9,175.4,2.91,15.9,24,11/24/2012,62.44196235,11,2012
81,Mitsubishi,Galant,55.6,10.6,Passenger,17.4,2.4,145,103.7,68.5,187.8,2.945,16.3,25,1/29/2012,58.60677292,1,2012
82,Mitsubishi,Diamante,5.7,16.6,Passenger,25.0,3.5,210,107.1,70.3,194.1,3.443,19,22,8/28/2012,84.83077858,8,2012
83,Mitsubishi,3000GT,0.1,20.9,Passenger,25.5,3,161,97.2,72.4,180.3,3.131,19.8,21,6/29/2012,67.54415494,6,2012
84,Mitsubishi,Montero,11.3,19.1,Car,31.8,3.5,200,107.3,69.9,186.6,4.52,24.3,18,1/17/2012,83.92081504,1,2012
85,Mitsubishi,Montero Sport,39.3,13.9,Car,22.5,3,173,107.3,66.7,178.3,3.51,19.5,20,5/18/2012,70.66094179,5,2012
86,Mercury,Mystique,14.4,8.8,Passenger,16.2,2,125,106.5,69.1,184.8,2.769,15,28,12/19/2012,50.99774761,12,2012
87,Mercury,Cougar,26.5,13.9,Passenger,16.5,2,125,106.4,69.6,185,2.892,16,30,2/23/2012,51.11347426,2,2012
88,Mercury,Sable,68.0,11.0,Passenger,19.0,3,153,108.5,73,199.7,3.379,16,24,9/22/2012,62.23996663,9,2012
89,Mercury,Grand Marquis,81.2,14.9,Passenger,22.6,4.6,200,114.7,78.2,212,3.958,19,21,7/24/2012,80.65769646,7,2012
90,Mercury,Mountaineer,27.6,20.4,Car,27.6,4,210,111.6,70.2,190.1,3.876,21,18,2/13/2008,85.94974425,2,2008
91,Mercury,Villager,20.4,14.8,Car,22.5,3.3,170,112.2,74.9,194.7,3.944,20,21,10/20/2009,69.671461,10,2009
92,Mercedes-B,C-Class,18.4,26.1,Passenger,31.8,2.3,185,105.9,67.7,177.4,3.25,16.4,26,4/24/2011,78.28073088,4,2011
93,Mercedes-B,E-Class,27.6,41.5,Passenger,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25,7/12/2011,98.2497375,7,2011
94,Mercedes-B,S-Class,16.8,50.4,Passenger,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21,6/13/2011,125.2738757,6,2011
95,Mercedes-B,SL-Class,3.3,58.6,Passenger,82.6,5,302,99,71.3,177.1,4.125,21.1,20,3/17/2011,139.9822936,3,2011
101,Nissan,Sentra,42.6,8.5,Passenger,13.5,1.8,126,99.8,67.3,177.5,2.593,13.2,30,8/31/2011,50.24197791,8,2011
102,Nissan,Altima,88.1,11.3,Passenger,20.4,2.4,155,103.1,69.1,183.5,3.012,15.9,25,8/2/2011,63.31372783,8,2011
103,Nissan,Maxima,79.9,15.1,Passenger,26.2,3,222,108.3,70.3,190.5,3.294,18.5,25,5/6/2011,89.42782031,5,2011
104,Nissan,Quest,27.3,15.4,Car,26.4,3.3,170,112.2,74.9,194.8,3.991,20,21,3/7/2011,71.17166413,3,2011
105,Nissan,Pathfinder,42.6,17.8,Car,29.3,3.3,170,106.3,71.7,182.6,3.947,21,19,9/25/2011,72.29035508,9,2011
108,Oldsmobile,Cutlass,1.1,11.2,Passenger,18.1,3.1,150,107,69.4,192,3.102,15.2,25,5/31/2011,60.86161155,5,2011
111,Oldsmobile,Aurora,14.7,19.9,Passenger,36.2,4,250,113.8,74.4,205.4,3.967,18.5,22,2/18/2011,103.4416926,2,2011
112,Oldsmobile,Bravada,20.0,19.9,Car,31.6,4.3,190,107,67.8,181.2,4.068,17.5,19,9/21/2011,80.51167259,9,2011
113,Oldsmobile,Silhouette,24.4,15.2,Car,25.3,3.4,185,120,72.2,201.4,3.948,25,22,6/25/2011,76.09657042,6,2011
114,Plymouth,Neon,32.7,7.8,Passenger,12.6,2,132,105,74.4,174.4,2.559,12.5,29,4/26/2011,52.08489875,4,2011
115,Plymouth,Breeze,5.2,9.8,Passenger,16.1,2,132,108,71,186.3,2.942,16,27,11/14/2011,53.41189767,11,2011
116,Plymouth,Voyager,24.2,12.0,Car,18.9,2.4,150,113.3,76.8,186.3,3.528,20,24,4/24/2011,60.95118512,4,2011
118,Pontiac,Sunfire,51.6,13.8,Passenger,21.6,2.4,150,104.1,68.4,181.9,2.906,15,27,1/25/2012,62.0158703,1,2012
119,Pontiac,Grand Am,131.1,10.3,Passenger,19.7,3.4,175,107,70.4,186.3,3.091,15.2,25,11/26/2012,70.38973726,11,2012
120,Pontiac,Firebird,19.9,17.8,Passenger,25.3,3.8,200,101.1,74.5,193.4,3.492,16.8,25,6/16/2012,81.49272616,6,2012
121,Pontiac,Grand Prix,92.4,14.0,Passenger,21.7,3.8,195,110.5,72.7,196.5,3.396,18,25,10/15/2012,78.31816813,10,2012
122,Pontiac,Bonneville,35.9,13.2,Passenger,23.8,3.8,205,112.2,72.6,202.5,3.59,17.5,24,5/18/2011,82.6613556,5,2011
124,Porsche,Boxter,9.0,41.3,Passenger,41.4,2.7,217,95.2,70.1,171,2.778,17,22,2/19/2012,93.4373307,2,2012
125,Porsche,Carrera Coupe,1.3,60.6,Passenger,71.0,3.4,300,92.6,69.5,174.5,3.032,17,21,12/21/2012,134.3909754,12,2012
126,Porsche,Carrera Cabrio,1.9,67.6,Passenger,75.0,3.4,300,92.6,69.5,174.5,3.075,17,23,7/11/2011,135.9147096,7,2011
129,Saturn,SL,80.6,9.2,Passenger,10.7,1.9,100,102.4,66.4,176.9,2.332,12.1,33,8/16/2012,39.98642475,8,2012
130,Saturn,SC,24.5,10.6,Passenger,12.5,1.9,100,102.4,66.4,180,2.367,12.1,33,3/16/2011,40.70007242,3,2011
131,Saturn,SW,5.2,10.8,Passenger,14.3,1.9,124,102.4,66.4,176.9,2.452,12.1,31,1/15/2011,49.86577367,1,2011
136,Toyota,Corolla,142.5,10.0,Passenger,13.1,1.8,120,97,66.7,174,2.42,13.2,33,4/11/2011,47.96897242,4,2011
137,Toyota,Camry,248.0,13.2,Passenger,17.5,2.2,133,105.2,70.1,188.5,2.998,18.5,27,2/10/2011,54.37241965,2,2011
138,Toyota,Avalon,63.8,18.1,Passenger,25.5,3,210,107.1,71.7,191.9,3.417,18.5,26,8/31/2011,84.91189826,8,2011
139,Toyota,Celica,33.3,15.4,Passenger,16.9,1.8,140,102.4,68.3,170.5,2.425,14.5,31,12/29/2012,56.49603034,12,2012
140,Toyota,Tacoma,84.1,9.6,Car,11.5,2.4,142,103.3,66.5,178.7,2.58,15.1,23,8/1/2011,55.29711658,8,2011
142,Toyota,RAV4,25.1,13.3,Car,16.9,2,127,94.9,66.7,163.8,2.668,15.3,27,5/6/2011,51.95510887,5,2011
143,Toyota,4Runner,68.4,19.4,Car,22.3,2.7,150,105.3,66.5,183.3,3.44,18.5,23,3/7/2011,62.35557713,3,2011
144,Toyota,Land Cruiser,9.8,34.1,Car,51.7,4.7,230,112.2,76.4,192.5,5.115,25.4,15,9/25/2011,102.5289842,9,2011
145,Volkswagen,Golf,9.8,11.4,Passenger,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,1/24/2011,46.94387676,1,2011
146,Volkswagen,Jetta,83.7,13.2,Passenger,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,8/27/2011,47.63823666,8,2011
147,Volkswagen,Passat,51.1,16.7,Passenger,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,10/30/2012,61.70138136,10,2012
148,Volkswagen,Cabrio,9.6,16.6,Passenger,20.0,2,115,97.4,66.7,160.4,3.079,13.7,26,5/31/2011,48.90737225,5,2011
149,Volkswagen,GTI,5.6,13.8,Passenger,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,4/1/2011,47.94684106,4,2011
